Name,Private,PercentAccept,Enroll,Top10perc,Top25perc,FtimeRatio,Outstate,Room.Board,PhD,S.F.Ratio,Expend,Grad.Rate
University of New England,Yes,0.62,265,19,54,0.84,11450,5045,72,11.4,9718,64
University of New Hampshire,No,0.78,2529,24,62,0.89,11180,3862,89,17.5,7855,75
University of North Carolina at Asheville,No,0.56,394,32,74,0.65,5972,3420,77,13,7011,37
University of North Carolina at Chapel Hill,No,0.41,3331,75,92,0.93,8400,4200,88,8.9,15893,83
University of North Carolina at Charlotte,No,0.77,1730,19,62,0.76,7248,3109,79,16.8,6227,62
University of North Carolina at Greensboro,No,0.8,1500,15,44,0.8,8677,3505,75,15.5,7392,53
University of North Carolina at Wilmington,No,0.64,1449,15,67,0.85,7558,3680,82,19.1,6005,55
University of North Dakota,No,0.81,1652,20,54,0.85,5634,2703,97,15.9,9424,49
University of North Florida,No,0.7,560,44,85,0.52,6634,4360,82,17.8,6104,47
University of North Texas,No,0.62,2049,23,51,0.73,4104,3579,86,22.6,5657,35
University of Northern Colorado,No,0.72,1697,12,37,0.85,7731,4128,75,21.5,6309,40
University of Northern Iowa,No,0.82,1853,18,52,0.87,6197,2930,78,16.3,6333,77
University of Notre Dame,Yes,0.48,1906,79,96,1,16850,4400,96,13.1,13936,97
University of Oklahoma,No,0.84,2233,32,63,0.84,5173,3526,86,11.5,10244,44
University of Oregon,No,0.78,2546,25,61,0.88,10602,3660,79,19.7,8020,54
University of Pennsylvania,Yes,0.42,2464,85,100,0.95,17020,7270,95,6.3,25765,93
University of Pittsburgh-Main Campus,No,0.74,2503,25,59,0.75,10786,4560,93,7.8,13789,66
University of Portland,Yes,0.84,419,27,58,0.92,12040,4100,92,13.2,9060,72
University of Puget Sound,Yes,0.7,688,51,83,0.95,16230,4500,79,15,11217,63
University of Rhode Island,No,0.8,1968,12,40,0.78,10330,5558,84,16.6,9158,63
University of Richmond,Yes,0.46,756,46,72,0.83,14500,3285,75,11.7,11984,100
University of Rochester,Yes,0.63,1243,56,75,0.92,17840,6582,93,5.9,26037,80
University of San Diego,Yes,0.7,886,40,70,0.94,13600,5940,93,15.6,10813,66
University of San Francisco,Yes,0.75,538,23,48,0.89,13226,6452,86,13.6,10074,62
University of Sci. and Arts of Oklahoma,No,0.98,208,21,43,0.71,3687,1920,67,23.6,3864,43
University of Scranton,Yes,0.66,910,29,60,0.88,11584,5986,83,14.1,9131,92
University of South Carolina at Aiken,No,0.66,377,14,24,0.57,5800,3066,62,14.8,5035,48
University of South Carolina at Columbia,No,0.76,2328,30,66,0.77,8074,3522,84,16.9,8246,63
University of South Florida,No,0.62,1876,29,63,0.57,6760,3776,84,17,11020,47
University of Southern California,Yes,0.69,2477,45,71,0.9,17230,6482,90,11.4,17007,68
University of Southern Colorado,No,0.88,605,10,34,0.85,7100,4380,63,19.4,5389,36
University of Southern Indiana,No,0.9,1292,8,25,0.59,4973,3192,56,22,4078,38
University of Southern Mississippi,No,0.72,1046,20,50,0.87,4652,2470,78,18.7,5917,45
University of St. Thomas MN,Yes,0.88,828,26,53,0.81,11712,4037,80,13.8,8546,89
University of St. Thomas TX,Yes,0.75,185,45,77,0.71,8550,4050,75,12.6,7237,62
University of Tennessee at Knoxville,No,0.72,3013,27,53,0.83,5764,3262,86,16.5,8612,53
University of Texas at Arlington,No,0.78,1448,19,43,0.57,4422,2780,73,21,4696,29
University of Texas at Austin,No,0.65,5329,48,85,0.85,5130,3309,91,19.7,7837,65
University of Texas at San Antonio,No,0.74,1686,17,46,0.63,4104,5376,94,25.3,4329,50
University of the Arts,Yes,0.72,290,5,22,0.97,12520,3860,16,7.5,11641,57
University of the Pacific,Yes,0.81,582,36,66,0.9,16320,5326,87,11.2,13706,65
University of the South,Yes,0.67,326,46,83,0.98,15350,4080,89,10.3,18784,82
University of Tulsa,Yes,0.91,696,41,68,0.87,11750,4160,94,11.5,11743,47
University of Utah,No,0.88,2400,27,53,0.62,6857,3975,89,12.8,9275,37
University of Vermont,No,0.78,1735,18,51,0.81,15516,4928,87,9.9,12646,79
University of Virginia,No,0.34,2678,74,95,0.99,12212,3792,90,9.5,13597,95
University of Washington,No,0.55,3343,40,81,0.82,8199,4218,96,9,16527,65
University of West Florida,No,0.8,472,20,57,0.6,6172,3994,83,23.4,8488,53
University of Wisconsin-Stout,No,0.76,1030,9,32,0.91,6704,2592,78,21,6254,65
University of Wisconsin-Superior,No,1,342,14,53,0.77,7032,2780,75,15.2,6490,36
University of Wisconsin-Whitewater,No,0.85,1472,12,38,0.83,6950,2500,90,23.1,5559,67
University of Wisconsin at Green Bay,No,0.8,759,17,50,0.74,6900,2800,81,22.2,5968,46
University of Wisconsin at Madison,No,0.73,4631,36,80,0.92,9096,4290,93,11.5,11006,72
University of Wisconsin at Milwaukee,No,0.72,1930,12,37,0.61,8786,2964,79,15.9,8094,38
University of Wyoming,No,0.75,1073,23,46,0.84,5988,3422,91,15.1,8745,45
Upper Iowa University,Yes,0.68,192,10,35,0.56,8840,3060,69,17.4,3733,78
Ursinus College,Yes,0.73,308,44,77,0.99,14900,5160,82,11.6,12082,79
Ursuline College,Yes,0.8,86,21,47,0.49,9600,4202,39,10.5,7164,68
Valley City State University,No,0.93,212,5,27,0.82,4286,2570,39,14.9,4958,40
Valparaiso University,Yes,0.83,520,49,81,0.93,11800,3260,87,14.2,9681,95
Vanderbilt University,Yes,0.6,1499,71,92,0.98,17865,6525,93,5.8,23850,83
Vassar College,Yes,0.53,653,53,87,0.97,18920,5950,90,9.7,17089,90
Villanova University,Yes,0.72,1477,30,68,0.83,15925,6507,89,13.4,10458,96
Virginia Commonwealth University,No,0.7,1567,18,45,0.67,10217,4182,81,8.7,11183,45
Virginia State University,No,0.81,704,2,30,0.9,5587,4845,61,16,5733,31
Virginia Tech,No,0.75,4277,29,53,0.97,10260,3176,85,13.8,8944,73
Virginia Union University,Yes,0.87,453,19,59,0.95,7384,3494,51,13.7,6757,30
Virginia Wesleyan College,Yes,0.61,287,20,49,0.73,10900,5100,70,15.7,7804,68
Viterbo College,Yes,0.8,271,17,43,0.72,9140,3365,51,10.7,8050,73
Voorhees College,Yes,0.69,188,10,30,0.97,4450,2522,43,22.9,5861,58
Wabash College,Yes,0.78,256,41,76,0.99,12925,4195,78,9.9,14904,72
Wagner College,Yes,0.72,417,10,44,0.92,13500,5800,67,13.2,9006,75
Wake Forest University,Yes,0.42,903,75,88,0.95,13850,4360,95,4.3,41766,89
Walsh University,Yes,0.82,477,27,92,0.63,8670,4180,42,11.3,5738,68
Warren Wilson College,Yes,0.71,112,25,49,0.99,10000,3052,65,11.4,9430,63
Wartburg College,Yes,0.87,345,34,66,0.93,11600,3610,66,12.4,7735,67
Washington and Jefferson College,Yes,0.84,334,42,64,0.88,16260,4005,91,12.1,10162,86
Washington and Lee University,Yes,0.33,425,68,93,1,13750,4619,81,9.6,15736,90
Washington College,Yes,0.78,214,31,60,0.95,15276,5318,79,11.2,10830,65
Washington State University,No,0.89,2440,31,70,0.91,8200,4210,84,16.9,10912,56
Washington University,Yes,0.69,1254,62,93,0.79,18350,5775,91,3.9,45702,90
Wayne State College,No,1,724,6,21,0.85,2700,2660,60,20.3,4550,52
Waynesburg College,Yes,0.82,324,12,30,0.95,8840,3620,57,16.2,6563,63
Webber College,Yes,0.51,79,5,27,0.75,5590,2900,53,15.1,4839,90
Webster University,Yes,0.69,226,17,44,0.53,9160,4340,68,20.6,6951,48
Wellesley College,Yes,0.43,579,80,96,0.93,18345,5995,94,10.6,21409,91
Wells College,Yes,0.75,130,40,85,0.96,14900,5550,93,8.3,13935,69
Wentworth Institute of Technology,Yes,0.85,452,6,25,0.84,9850,6050,10,15.4,17858,64
Wesley College,Yes,0.82,350,10,25,0.66,9890,4674,52,14.4,6243,84
Wesleyan University,Yes,0.41,712,60,86,0.99,19130,5600,90,12.1,16262,92
West Chester University of Penn.,No,0.54,1372,11,51,0.8,7844,4108,76,15.3,6773,52
West Liberty State College,No,0.91,478,12,25,0.9,4470,2890,33,16.3,4249,60
West Virginia Wesleyan College,Yes,0.89,483,28,55,0.9,14200,3775,58,16.4,8080,67
Western Carolina University,No,0.78,1057,11,31,0.88,6390,2380,67,14.6,6554,55
Western Maryland College,Yes,0.82,278,31,50,0.92,14510,5340,84,12.5,10026,60
Western Michigan University,No,0.78,2738,24,53,0.79,6940,4100,80,24.7,5983,55
Western New England College,Yes,0.89,409,7,21,0.62,8994,5500,74,15.4,8409,59
Western State College of Colorado,No,0.6,604,7,24,0.94,5918,3755,76,19.4,4599,52
Western Washington University,No,0.64,1549,30,71,0.95,8124,4144,83,22.7,7203,61
Westfield State College,No,0.69,825,3,20,0.77,5542,3788,75,15.7,4222,65
Westminster College MO,Yes,0.84,184,20,43,0.95,10720,4050,66,12.5,7925,62
Westminster College,Yes,0.87,377,29,58,0.95,12065,3615,62,12.5,8596,80
Westminster College of Salt Lake City,Yes,0.79,213,21,60,0.57,8820,4050,68,10.5,7170,50
Westmont College,No,0.75,351,42,72,0.99,14320,5304,77,14.9,8837,87
Wheaton College IL,Yes,0.64,548,56,84,0.98,11480,4200,81,12.7,11916,85
Westminster College PA,Yes,0.79,417,21,55,0.98,18460,5970,92,13.2,22704,71
Wheeling Jesuit College,Yes,0.84,213,15,49,0.76,10500,4545,66,14.1,7494,72
Whitman College,Yes,0.54,359,45,77,0.96,16670,4900,80,10.5,13198,72
Whittier College,Yes,0.64,344,35,63,0.98,16249,5699,84,13.6,11778,52
Whitworth College,Yes,0.83,372,43,70,0.89,12660,4500,80,16.9,8328,80
Widener University,Yes,0.7,502,24,64,0.5,12350,5370,88,12.6,9603,63
Wilkes University,Yes,0.88,434,15,36,0.75,11150,5130,78,13.3,8543,67
Willamette University,Yes,0.8,395,49,80,0.91,14800,4620,91,13.3,10779,68
William Jewell College,Yes,0.83,315,32,67,0.94,10060,2970,74,11.2,7885,59
William Woods University,Yes,0.93,227,17,39,0.88,10535,4365,39,12.9,7438,52
Williams College,Yes,0.3,526,81,96,0.99,19629,5790,94,9,22014,99
Wilson College,Yes,0.78,46,16,50,0.23,11428,5084,67,8.3,10291,67
Wingate College,Yes,0.82,383,10,34,0.88,7820,3400,69,13.9,7264,91
Winona State University,No,0.62,1301,20,45,0.87,4200,2700,53,20.2,5318,58
Winthrop University,No,0.78,769,24,61,0.84,6400,3392,71,12.8,6729,59
Wisconsin Lutheran College,Yes,0.84,75,17,41,0.93,9100,3700,48,8.5,8960,50
Wittenberg University,Yes,0.88,575,42,68,0.93,15948,4404,82,12.8,10414,78
Wofford College,Yes,0.62,273,51,83,0.97,12680,4150,91,15.3,7875,75
Worcester Polytechnic Institute,Yes,0.84,682,49,86,0.97,15884,5370,92,15.2,10774,82
Worcester State College,No,0.69,543,4,26,0.6,6797,3900,60,21,4469,40
Xavier University,Yes,0.92,695,24,47,0.72,11520,4960,73,13.3,9189,83
Xavier University of Louisiana,Yes,0.91,695,34,61,0.94,6900,4200,67,14.4,8323,49
Yale University,Yes,0.23,1317,95,99,0.98,19840,6510,96,5.8,40386,99
York College of Pennsylvania,Yes,0.62,691,28,63,0.63,4990,3560,75,18.1,4509,99
